Codigo,Nombre,Nombre_Completo,Coseguro_Consulta,Coseguro_Practica,Valor_Consulta_Raw,Valor_Base,Valor_Especialista,Incluye_IVA,Observaciones,Arancel_Compensatorio,Estado,Motivo_Sin_Atencion,Publicacion_Origen
50,FEDERADA SALUD,FEDERADA SALUD,2000,,29000/29000,29000.0,29000.0,False,,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
902,FUTBOLISTAS,FUTBOLISTAS,,,23943/28000,23943.0,28000.0,False,,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
819,GALENO,GALENO,,,26825/30000,26825.0,30000.0,False,,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
6,GERDANNA SALUD,GERDANNA SALUD,7000,,23601/28000,23601.0,28000.0,False,,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
900,INTEGRAL SALUD,INTEGRAL SALUD - PLANES ARRAYAN-ROBLE,3000/5000,No,24137/26322,24137.0,26322.0,False,Plan ROBLE sin coseguro,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
948,INTEGRAL SALUD CEIBO,INTEGRAL SALUD - PLAN CEIBO,3000/5000,No,24137/26322,24137.0,26322.0,False,Aclarar plan en RP,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
963,JARDINEROS ENSALUD,"JARDINEROS, PARQUISTAS Y FLORICULTORES DE REP. AR",G10000/15000,BC($10000)MC($15000)AC($20000),25592/27718,25592.0,27718.0,False,Coseg. X complejidad,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
330,JERARQUICOS SALUD,OS. JERÁRQUICOS DE BANCOS,,,28500/28500,28500.0,28500.0,False,Plan PMO sin convenio,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
96,LUIS PASTEUR,LUIS PASTEUR,,,22389/27091,22389.0,27091.0,False,,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
882,MEDICUS,MEDICUS,,,30000/30000,30000.0,30000.0,False,Aclarar plan en RP,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
894,MEDICUS PLAN MS1,MEDICUS PLAN MS1,20000,Consultar en nuestra web,27000/27000,27000.0,27000.0,False,Aclarar plan en RP,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
895,MEDICUS PLAN MS2,MEDICUS PLAN MS2,,,30000/30000,30000.0,30000.0,False,Aclarar plan en RP,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
838,MEDIFE OBLIGATORIO,MEDIFE,,,30000/30000,30000.0,30000.0,False,Afiliado Obl.,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
839,MEDIFE VOLUNTARIO,MEDIFE,,,30000 + Iva,30000.0,30000.0,True,Afiliado Voluntario,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
843,MOTOCICLISTAS - AAMM,O.S MOTOCICLISTAS,,,25883/31000,25883.0,31000.0,False,,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
35,MOSAISTAS,MOSAISTAS,,,22708/26000,22708.0,26000.0,False,,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
632,NOBIS MEDICAL B200,NOBIS MEDICAL B200,8100,30 % valor practica,29000/29000,29000.0,29000.0,False,Sólo plan B200,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
633,NOBIS MEDICAL,NOBIS MEDICAL,,,29000/29000,29000.0,29000.0,False,,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
876,OMINT,OMINT,,,32036/32036,32036.0,32036.0,False,,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
51,OPDEA,PERS. DE DIREC. DE EMPRESAS ALIMENTICIAS,,,27853/30000,27853.0,30000.0,False,,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
816,OSALARA,OS. AGENTES DE LOTERIAS Y AFINES,,,29281/35500,29281.0,35500.0,False,,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
49,OSAM (MINEROS),OS. ACTIVIDAD MINERA - ITER MEDICINA,Según orden,Impreso en orden,24000/24000,24000.0,24000.0,False,Gerencia ITER,"$ 3.000,00",Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
781,OSDE PLANILLA,OSDE PLANILLA,,,22265/30000,22265.0,30000.0,False,PLAN 015 S/CONVENIO,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
779,OSDE VALIDADO,OSDE VALIDADO,Ver copago en plan 6 030 orden validada,,22265/30000,22265.0,30000.0,False,PLAN 015 S/CONVENIO,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
64,OSDOP,OS. DOCENTES PARTICULARES-ITER MEDICINA,Según orden,Impreso en orden,24000/24000,24000.0,24000.0,False,Gerencia ITER,"$ 3.000,00",Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
663,OSEMM,OS EMPLEADOS MARINO MERCANTE,Según orden,Impreso en orden,20751/26000,20751.0,26000.0,False,Imagen Salud,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
898,OSER (ex IOSPER),OSER,Según orden,Impreso en orden,"19188,9",19188.9,19188.9,False,,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
237,OSFATLYF - LUZ Y FUERZA,FED. ARG. DE TRABAJADORES DE LUZ y FUERZA,Según orden,Impreso en orden,27144/27144,27144.0,27144.0,False,,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
911,OSFATUN,OS. TRABAJADORES UNIVERSIDAD NACIONAL,,,19084/22279,19084.0,22279.0,False,,"$ 5.000,00",Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
814,OSMATA,OS. MECANICOS Y AFINES,Según orden,Impreso en orden,22464/27000,22464.0,27000.0,False,Coseg. sólo plan PMO,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
908,OSPATCA,TECNICOS DE LA CONSTRUCCIÓN,10000/15000,Según autorización,26500/26500,26500.0,26500.0,False,,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
849,OSPATRONES,OS. PATRONES DE CABOTAJE,Según orden,Impreso en orden,21186/25000,21186.0,25000.0,False,Plan Monotrib. s/convenio,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
110,OSPE UNIMEDICA INTERIOR,RED UNIMEDICA - CIRME - INTERIOR,Según orden,Impreso en orden,25000,25000.0,25000.0,False,,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
912,OSPE UNIMEDICA PARANA,A.M.M.E.R,Según orden,Impreso en orden,25000,25000.0,25000.0,False,,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
881,OSPECON,OS. PERSONAL DE LA CONSTRUCCIÓN,,,20528/25000,20528.0,25000.0,False,,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
743,OSPEDYC,OS.PERSONAL ENTIDADES DEPORTIVAS Y CIVILES,Según orden,Impreso en orden,23410/26000,23410.0,26000.0,False,,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
759,OSPEGAP VISITAR,OS. PETROLEO Y GAS PRIVADO,,,24177/26280,24177.0,26280.0,False,Gerencia Visitar,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
91,OSPERYHRA,O.S PERSONAL EDIFICIOS DE RENTAS Y HORIZONTAL,,,26061/31088,26061.0,31088.0,False,,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
589,OSPES,OS. PERSONAL ESTACIONES DE SERVICIOS,,,22470/27000,22470.0,27000.0,False,,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
338,OSPIA - ITER MEDICINA,PERS. INDUSTRIA DE LA ALIMENTACIÓN,Según orden,Impreso en orden,24000/24000,24000.0,24000.0,False,Gerencia ITER,"$ 3.000,00",Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
44,OSPICA - OSFGPICYD,PERS. INDUSTRIA DE LA CARNE Y DERIVADOS,Según orden,Impreso en orden,20751/26000,20751.0,26000.0,False,Imagen Salud,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
842,OSPIDA,"PERS. IMPRENTAS, DIARIOS Y AFINES",,,23227/27984,23227.0,27984.0,False,,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
55,OSPIL,PERS. INDUSTRIA LECHERA,,,17823/22704,17823.0,22704.0,False,,"$ 4.000,00",Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
942,OSPIP - IND. DEL PLASTICO,INDUSTRIA DEL PLASTICO,7000/11000,BC($2300)MC($4800)AC($12000),21301/26000,21301.0,26000.0,False,Coseg. X complejidad,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
4,OSPLAD ITER MEDICINA,PERS. ACTIVIDAD DOCENTE,Según orden,Impreso en orden,24000/24000,24000.0,24000.0,False,Gerencia ITER,"$ 3.000,00",Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
46,OSPM - SOMU,PERSONAL MARITIMO,Según orden,Impreso en orden,20749/26000,20749.0,26000.0,False,Imagen Salud,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
260,OSPPCYQ,"PERS. PAPEL, CARTON Y QUIMICOS",Según orden,Impreso en orden,20751/26000,20751.0,26000.0,False,Imagen Salud,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
837,OSPPRA,OS. PERSONAL DE PRENSA,10000/15000,Según autorización,23324/26500,23324.0,26500.0,False,,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
7,OSPRERA,O.S PERSONAL RURAL Y ESTIBADORES R.A,Según orden,Impreso en orden,21718/26500,21718.0,26500.0,False,,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
588,OSPSIP,O.S DE TRAB.DE VIGIL.E INVESTIGADORES PRIVADOS,,,27144/27144,27144.0,27144.0,False,Gerencia SISMED,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
735,OSSACRA,OS. AMAS DE CASA - OSSACRA,,,22943/27500,22943.0,27500.0,False,,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
924,OSSEG - VISITAR,"OS. TRAB. DEL SEGURO (PLAN BASICO, SALUD Y ESPECIAL)",20000,BC($13500)MC($26000)AC($50500),25612/26280,25612.0,26280.0,False,"Aclarar Plan - Coseg. X complejidad. Se cobra coseguro por mas que la orden diga valor ""0""",,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
923,OSSEG INTEGRAL,OS. TRABAJADORES DEL SEGURO,,,27400/27400,27400.0,27400.0,False,Sólo plan Integral - Aclarar plan en RP,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
913,OSTCARA,OS. TRABAJADORES DE LA CARNE,Según orden,Impreso en orden,19431/24000,19431.0,24000.0,False,Gerencia ITER,"$ 3.000,00",Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
861,OSTEP,OS. TRABAJADORES DE ESCUELAS PRIVADAS,,,27144/27144,27144.0,27144.0,False,Gerencia SISMED,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
841,OSTV (NO CONFUNDIR CON SATV),OS. TRABAJADORES VIALES,Según orden,Impreso en orden,20751/26000,20751.0,26000.0,False,Imagen Salud,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
74,OSUNER,OS. UNIVERSIDAD NACIONAL DE ENTRE RÍOS,,,21590/25000,21590.0,25000.0,False,Afiliado sin iva,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
740,OSUNER IVA,OS. UNIVERSIDAD NACIONAL DE ENTRE RÍOS - CON IVA,,,21590/25000+IVA,21590.0,25000.0,True,Afiliado con iva,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
54,OSUOMRA - UOM,UNION OBRERA METALÚRGICA,Según orden,Impreso en orden,19570/23493,19570.0,23493.0,False,,"$ 4.000,00",Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
822,OSUTHGRA,GASTRONOMICOS,Según orden,Impreso en orden,16583/20008,16583.0,20008.0,False,,"$ 7.000,00",Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
93,PANADEROS - OSPPYFER,PANADEROS Y FACTUREROS DE ENTRE RIOS,,,23399/27040,23399.0,27040.0,False,,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
583,PASTELEROS-ELEVAR,PASTELEROS - O.S.T.P.C.H.Y.A.R.A,,,24141/27000,24141.0,27000.0,False,,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
58,PODER JUDICIAL,PODER JUDICIAL,,,29790/34680,29790.0,34680.0,False,,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
59,POLICIA FEDERAL,POLICIA FEDERAL,,,23613/28000,23613.0,28000.0,False,,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
401,PREVENCION SALUD,PREVENCION SALUD,Plan ON DEMAND c/coseguro y orden validada,,30000/30000,30000.0,30000.0,False,Plan Basico sin convenio,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
602,SADAIC,SADAIC,,,22645/27000,22645.0,27000.0,False,,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
917,SANCOR SALUD,SANCOR SALUD,,,28655/28655,28655.0,28655.0,False,Consulta Online $30000,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
995,SANOS SALUD,SANOS SALUD,Según orden,Impreso en orden,19121/23000,19121.0,23000.0,False,Gerencia NATIVUS,"$ 7.000,00",Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
83,SWISS MEDICAL,SWISS MEDICAL,Ver copago en ordenes validadas,,30000/30000,30000.0,30000.0,False,,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
576,TUNEL,TUNEL,,,27000/27000,27000.0,27000.0,False,,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
212,TV SALUD,O.S TRABAJADORES DE LA TELEVISIÓN,,,27144/27144,27144.0,27144.0,False,,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
613,VISITAR,VISITAR,20000,BC($13500)MC($26000)AC($50500),25612/26280,25612.0,26280.0,False,"Coseg. X complejidad. Se cobra coseguro por mas que la orden diga valor ""0""",,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
66,FUERZAS ARMADAS - IOSFA,,,,,,,,,,Sin_Atencion,SIN CONVENIO,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
191,UNION PERSONAL,,,,,,,,,,Sin_Atencion,SIN CONVENIO - desde 31/07/26,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
72,OSCTCP - UTA,,,,,,,,,,Sin_Atencion,SIN CONVENIO - desde 31/07/26,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
63,OSETYA - SISMED,,,,,,,,,,Sin_Atencion,SIN CONVENIO - desde 01/09/26,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
885,SCIS,,,,,,,,,,Sin_Atencion,SIN CONVENIO - desde 01/09/26,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
956,BRAMED,,,,,,,,,,Sin_Atencion,FALTA DE PAGO,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
957,HIELO,,,,,,,,,,Sin_Atencion,FALTA DE PAGO,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
45,OSPAVIAL,,,,,,,,,,Sin_Atencion,FALTA DE PAGO,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
935,OSPEDICI,,,,,,,,,,Sin_Atencion,FALTA DE PAGO,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
77,OSPIM - MADERAS,,,,,,,,,,Sin_Atencion,FALTA DE PAGO,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
954,OSPIM - MOLINEROS,,,,,,,,,,Sin_Atencion,FALTA DE PAGO,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
19,OSPSA - SANIDAD,,,,,,,,,,Sin_Atencion,FALTA DE PAGO,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
107,OSTEL,,,,,,,,,,Sin_Atencion,FALTA DE PAGO,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
326,OSSIMRA - INTEGRAL SALUD plan ÁLAMO,,,,,,,,,,Sin_Atencion,FALTA DE PAGO,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
