Codigo,Nombre,Nombre_Completo,Coseguro_Consulta,Coseguro_Practica,Valor_Consulta_Raw,Valor_Base,Valor_Especialista,Incluye_IVA,Observaciones,Arancel_Compensatorio,Estado,Motivo_Sin_Atencion,Publicacion_Origen
959,AMSTERDAM SALUD,AMSTERDAM SALUD,1500,15 % valor practica,29000/29000,29000.0,29000.0,False,,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
18,AMUR EXENTO,ASOCIACIÓN MUTUAL RURALISTA,,,28500/28500,28500.0,28500.0,False,Afil. Exento,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
909,AMUR GRAVADO,ASOCIACIÓN MUTUAL RURALISTA,,,28500 + iva,28500.0,28500.0,True,Afil. Gravado,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
938,ANDAR - OSVVRA ITER,O.S VIAJANTES Y VENDEDORES DE LA REP. ARGENTINA,Según orden,Impreso en orden,24000/24000,24000.0,24000.0,False,Gerencia ITER,"$ 3.000,00",Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
13,APM,AGENTES DE PROPAGANDAS MEDICAS,,,23374/28000,23374.0,28000.0,False,,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
20,AVALIAN - AFILIADOS EXENTOS,AVALIAN,,,29000/29000,29000.0,29000.0,False,ver en instructivo planes habilitados,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
891,AVALIAN - AFILIADOS GRAVADOS,AVALIAN,,,29000 + Iva,29000.0,29000.0,True,ver en instructivo planes habilitados,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
23,BANCARIOS - OSSSB,OS SERVICIOS SOCIALES BANCARIOS,,,35000/35000,35000.0,35000.0,False,,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
331,CAJA NOTARIAL,CAJA NOTARIAL,6500,20 % valor practica,30000/30000,30000.0,30000.0,False,coseguro tambien en cirugías,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
332,CAJA NOTARIAL MED. PREVENTIVA,CAJA NOTARIAL MEDICINA PREVENTIVA,,,30000/30000,30000.0,30000.0,False,100% a cargo O.Social,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
765,CIAS ECONOMICAS 100%,CONSEJO PROF. DE CIENCIAS ECONÓMICAS,,,30000/30000,30000.0,30000.0,False,100% a cargo O.Social,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
729,CIAS. ECONOMICAS,CONSEJO PROF. DE CIENCIAS ECONÓMICAS,6500,20 % valor practica,30000/30000,30000.0,30000.0,False,20% a cargo del afiliado,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
915,COMFYE,COMFYE SRL,,,25842/31000,25842.0,31000.0,False,,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
933,CONFERENCIA EPISCOPAL,CONFERENCIA EPISCOPAL ARGENTINA,,,28712/30842,28712.0,30842.0,False,,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
345,DASUTEN,DIRECCIÓN DE ACCIÓN SOCIAL DE LA UTN,,,27648/27648,27648.0,27648.0,False,,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
31,FARMACIA - OSPF,O.S PERSONAL DE FARMACIA,Según orden,Impreso en orden,26500/26500,26500.0,26500.0,False,,,Activa,,Estado de Obras Sociales &#8211; Septiembre (actualizado al 03-09-26)
